ID;Price;Area;Rooms;Flrs;Baths;Land;YearB;Age;Auto;Public;Inc;PM2_5;Edu;Condtn;Subbrbs
1;1200;147;5;1;2;580;2014;6;55;35;2231,4;24,9;60,87552594;3;Ząbki
2;625;127;6;2;3;130;2021;-1;55;45;2231,4;24,9;60,87552594;;Ząbki
3;1000;104;4;1;2;977;1960;60;55;46;2231,4;24,9;60,87552594;2;Ząbki
4;1300;167;6;1;2;783;2010;10;50;46;2231,4;24,9;60,87552594;2;Ząbki
5;2700;690;15;2;5;1200;1998;22;55;49;2231,4;24,9;60,87552594;3;Ząbki
6;499;136;4;0;1;456;1970;50;55;43;2231,4;24,9;60,87552594;1;Ząbki
7;1490;335,76;10;2;8;374;2015;5;50;38;2231,4;24,9;60,87552594;3;Ząbki
8;1495;353;8;1;4;600;1991;29;55;29;2231,4;24,9;60,87552594;2;Ząbki
9;990;167,56;5;2;2;283;2007;13;55;35;2231,4;24,9;60,87552594;4;Ząbki
10;1142;146,7;5;1;2;1001;1997;23;60;53;2231,4;24,9;60,87552594;3;Ząbki
11;898;180;4;2;2;500;BRAK;BRAK;50;39;2231,4;24,9;60,87552594;3;Ząbki
12;550;89,68;5;1;2;83;2022;-2;60;51;2701,18;22,1;58,63391565;;Marki
13;600;126,41;5;1;2;BRAK;2016;4;60;34;2701,18;22,1;58,63391565;2;Marki
14;1190;170;4;1;1;1050;2009;11;60;74;2701,18;22,1;58,63391565;2;Marki
15;1480;460;8;2;3;1211;1997;23;65;57;2701,18;22,1;58,63391565;3;Marki
16;790;138,6;5;0;1;367;2008;12;60;33;2701,18;22,1;58,63391565;3;Marki
17;849;151,8;4;1;2;505;2003;17;60;28;2701,18;22,1;58,63391565;2;Marki
18;1280;269,44;5;1;2;370;2009;11;70;76;2701,18;22,1;58,63391565;4;Marki
19;1250;246,18;7;1;2;1061;2014;6;65;37;2701,18;22,1;58,63391565;3;Marki
20;670;111;4;1;1;712;1996;24;60;49;2701,18;22,1;58,63391565;2;Marki
21;2750;200;4;2;2;1133;2001;19;65;68;2701,18;22,1;58,63391565;4;Marki
22;705;133;5;3;2;BRAK;2018;2;55;39;2701,18;22,1;58,63391565;3;Marki
23;1200;195;5;2;2;144;2016;4;55;38;2701,18;22,1;58,63391565;3;Marki
24;510;113;4;1;2;130;2020;0;65;68;2701,18;22,1;58,63391565;;Marki
25;849;156;5;1;2;553;2000;20;60;35;2701,18;22,1;58,63391565;3;Marki
26;850;240;5;2;2;550;1999;21;60;33;2701,18;22,1;58,63391565;2;Marki
27;1290;460;9;2;3;650;1999;21;60;49;2701,18;22,1;58,63391565;3;Marki
28;1550;207;6;2;2;668;2006;14;65;60;2701,18;22,1;58,63391565;4;Marki
29;580;106;4;0;1;390;1951;69;65;54;2701,18;22,1;58,63391565;2;Marki
30;1450;260;7;1;2;990;2002;18;65;64;2701,18;22,1;58,63391565;4;Marki
31;950;172;5;1;4;665;2015;5;70;65;2701,18;22,1;58,63391565;1;Marki
32;1690;270;5;2;2;2500;2000;20;65;67;2701,18;22,1;58,63391565;3;Marki
33;1590;380;6;1;2;1530;2010;10;70;71;2701,18;22,1;58,63391565;3;Marki
34;750;180;5;1;2;333;2005;15;60;28;2701,18;22,1;58,63391565;2;Marki
35;1900;290;6;1;2;1300;2011;9;65;35;2701,18;22,1;58,63391565;3;Marki
36;750;240;7;3;2;640;1974;46;60;32;2701,18;22,1;58,63391565;3;Marki
37;900;180;5;2;3;700;1995;25;65;54;2341,88;21,8;62,98780305;3;Kobyłka
38;1300;243,2;5;1;2;926;2007;13;70;52;2341,88;21,8;62,98780305;3;Kobyłka
39;800;267;6;2;2;611;1980;40;70;42;2341,88;21,8;62,98780305;1;Kobyłka
40;1790;400;6;1;3;2500;1999;21;55;51;2341,88;21,8;62,98780305;4;Kobyłka
41;480;100;4;1;1;350;BRAK;BRAK;70;47;2341,88;21,8;62,98780305;;Kobyłka
42;799;250;11;2;6;530;1976;44;65;41;2341,88;21,8;62,98780305;1;Kobyłka
43;690;144;4;1;2;900;1983;37;70;54;2341,88;21,8;62,98780305;1;Kobyłka
44;862;128;3;1;2;736;1960;60;55;52;2902,59;18,4;56,18530623;3;Zielonka
45;849;170;6;1;2;1152;2010;10;60;38;2902,59;18,4;56,18530623;3;Zielonka
46;570;89,8;3;1;1;200;2009;11;60;31;2902,59;18,4;56,18530623;2;Zielonka
47;1650;400;8;1;4;1346;2004;16;65;39;2902,59;18,4;56,18530623;3;Zielonka
48;900;180;4;1;2;398;2011;9;65;39;2902,59;18,4;56,18530623;3;Zielonka
49;790;320;6;1;2;792;1996;24;65;39;2902,59;18,4;56,18530623;2;Zielonka
50;790;316;10;2;2;570;1990;30;60;45;2902,59;18,4;56,18530623;2;Zielonka
51;830;300;6;2;3;570;1970;50;60;45;2902,59;18,4;56,18530623;2;Zielonka
52;930;185;5;1;2;543;2009;11;60;34;2902,59;18,4;56,18530623;3;Zielonka
53;929;200;6;1;2;670;2009;11;65;39;2902,59;18,4;56,18530623;3;Zielonka
54;510;130;5;1;2;635;1980;40;55;44;2902,59;18,4;56,18530623;1;Zielonka
55;790;300;12;2;2;568;1982;38;60;45;2902,59;18,4;56,18530623;1;Zielonka
56;650;96,44;4;0;1;683;2003;17;80;66;1982,13;21,1;56,03251075;1;Wołomin
57;860;423,19;6;1;3;677;1994;26;80;63;1982,13;21,1;56,03251075;2;Wołomin
58;820;201;5;1;2;654;2002;18;80;66;1982,13;21,1;56,03251075;2;Wołomin
59;1200;289;7;1;2;1659;1999;21;75;52;1982,13;21,1;56,03251075;1;Wołomin
60;1350;300;6;1;2;1120;2012;8;75;65;1982,13;21,1;56,03251075;4;Wołomin
61;599;125,03;4;1;2;410;2020;0;70;70;2956,31;17,7;52,82488702;;Radzymin
62;1275;330,8;6;1;3;1000;2007;13;70;70;2956,31;17,7;52,82488702;4;Radzymin
63;2400;426;7;1;2;51200;1994;26;70;70;2956,31;17,7;52,82488702;3;Radzymin
